application_id,application_date,job_id,job_title,location,salary_min,salary_max,avg_salary,company_name,industry,seeker_id,experience_years,current_location,status
1,2026-04-02,91,SQL Developer,Mumbai,523968,1046928,785448,Amazon,IT,129,8,Delhi,Hired
2,2026-04-02,186,Data Analyst,Bangalore,731311,1495227,1113269,Infosys,Ecommerce,101,3,Hyderabad,Rejected
3,2026-04-02,296,Data Scientist,Hyderabad,777098,1375128,1076113,Deloitte,Consulting,3,7,Bangalore,Applied
4,2026-04-02,6,BI Analyst,Mumbai,480261,1300706,890483,Deloitte,IT,5,5,Bangalore,Interview
5,2026-04-02,76,Business Analyst,Hyderabad,565904,1184223,875063,Amazon,IT,31,8,Pune,Applied
6,2026-04-02,38,Data Scientist,Pune,463180,1108854,786017,Microsoft,Analytics,147,1,Bangalore,Shortlisted
7,2026-04-02,294,Business Analyst,Delhi,444370,1155528,799949,Google,Ecommerce,195,2,Mumbai,Rejected
8,2026-04-02,246,Data Scientist,Delhi,748373,917218,832795,Google,Analytics,37,6,Hyderabad,Interview
9,2026-04-02,60,Data Analyst,Mumbai,694794,1072947,883870,Deloitte,Consulting,137,1,Delhi,Applied
10,2026-04-02,176,BI Analyst,Delhi,674866,1068426,871646,Amazon,IT,75,7,Hyderabad,Interview
11,2026-04-02,279,BI Analyst,Delhi,403222,907212,655217,Amazon,Consulting,38,1,Pune,Rejected
12,2026-04-02,175,Data Analyst,Bangalore,664565,1247688,956126,Cognizant,Analytics,186,6,Pune,Applied
13,2026-04-02,12,SQL Developer,Hyderabad,690328,1052327,871327,Cognizant,Analytics,149,0,Mumbai,Interview
14,2026-04-02,168,SQL Developer,Pune,694811,1208931,951871,Cognizant,Consulting,144,6,Pune,Interview
15,2026-04-02,238,SQL Developer,Pune,710081,1463324,1086702,Cognizant,Finance,58,6,Mumbai,Shortlisted
16,2026-04-02,15,SQL Developer,Hyderabad,587670,938760,763215,Google,IT,95,7,Mumbai,Applied
17,2026-04-02,292,Data Analyst,Hyderabad,538399,1104160,821279,Google,IT,174,1,Pune,Interview
18,2026-04-02,90,BI Analyst,Bangalore,508776,1272808,890792,Amazon,IT,70,3,Bangalore,Applied
19,2026-04-02,278,Data Analyst,Bangalore,471157,985233,728195,Amazon,Consulting,62,8,Hyderabad,Interview
20,2026-04-02,198,Data Scientist,Mumbai,523519,1008650,766084,Capgemini,Consulting,91,7,Delhi,Applied
21,2026-04-02,175,Data Analyst,Bangalore,664565,1247688,956126,Cognizant,Analytics,129,8,Delhi,Rejected
22,2026-04-02,118,SQL Developer,Delhi,694193,945763,819978,Capgemini,Consulting,4,5,Pune,Applied
23,2026-04-02,197,Data Scientist,Delhi,433502,1007738,720620,Cognizant,Finance,54,0,Delhi,Shortlisted
24,2026-04-02,199,Data Scientist,Pune,450891,1192563,821727,Deloitte,Analytics,66,8,Hyderabad,Rejected
25,2026-04-02,293,Data Scientist,Pune,431962,954994,693478,Microsoft,Analytics,169,2,Hyderabad,Shortlisted
26,2026-04-02,220,SQL Developer,Delhi,450631,918063,684347,Wipro,Analytics,126,3,Delhi,Rejected
27,2026-04-02,59,BI Analyst,Hyderabad,428263,1307712,867987,Google,Analytics,32,3,Bangalore,Interview
28,2026-04-02,184,Data Scientist,Bangalore,559138,1213788,886463,Infosys,Ecommerce,53,1,Mumbai,Interview
29,2026-04-02,278,Data Analyst,Bangalore,471157,985233,728195,Amazon,Consulting,86,4,Hyderabad,Applied
30,2026-04-02,216,Data Scientist,Delhi,482174,963084,722629,Infosys,Finance,41,5,Delhi,Applied
31,2026-04-02,66,BI Analyst,Mumbai,643624,1257470,950547,Google,IT,17,2,Mumbai,Applied
32,2026-04-02,100,Data Analyst,Pune,568328,1444267,1006297,Deloitte,Consulting,61,6,Delhi,Shortlisted
33,2026-04-02,154,SQL Developer,Bangalore,725607,940473,833040,Amazon,IT,119,6,Bangalore,Applied
34,2026-04-02,7,Data Analyst,Pune,661694,1403183,1032438,Amazon,IT,150,7,Delhi,Hired
35,2026-04-02,84,Data Analyst,Bangalore,478269,1522702,1000485,Deloitte,IT,12,6,Pune,Hired
36,2026-04-02,20,SQL Developer,Delhi,408006,1326407,867206,Microsoft,Analytics,51,3,Mumbai,Rejected
37,2026-04-02,64,Business Analyst,Hyderabad,431527,1057598,744562,Cognizant,Finance,6,5,Mumbai,Applied
38,2026-04-02,27,Business Analyst,Delhi,638153,1255354,946753,Deloitte,Consulting,27,3,Hyderabad,Hired
39,2026-04-02,135,Business Analyst,Delhi,730233,941038,835635,Accenture,Consulting,16,6,Pune,Interview
40,2026-04-02,297,BI Analyst,Delhi,499640,1493951,996795,Deloitte,Ecommerce,128,7,Mumbai,Hired
41,2026-04-02,258,Business Analyst,Hyderabad,433850,1233294,833572,Cognizant,Consulting,142,0,Pune,Applied
42,2026-04-02,278,Data Analyst,Bangalore,471157,985233,728195,Amazon,Consulting,143,3,Mumbai,Interview
43,2026-04-02,224,BI Analyst,Pune,556168,961216,758692,Microsoft,Analytics,20,2,Mumbai,Shortlisted
44,2026-04-02,275,Data Scientist,Mumbai,700667,1395937,1048302,Wipro,Ecommerce,199,5,Mumbai,Interview
45,2026-04-02,177,SQL Developer,Delhi,417578,1150618,784098,Cognizant,Consulting,118,2,Pune,Shortlisted
46,2026-04-02,214,Business Analyst,Mumbai,503290,1154150,828720,Capgemini,IT,54,0,Delhi,Rejected
47,2026-04-02,201,Business Analyst,Pune,697053,1228551,962802,Deloitte,Consulting,96,3,Mumbai,Applied
48,2026-04-02,200,Business Analyst,Pune,550826,1417057,983941,Accenture,Consulting,108,6,Pune,Rejected
49,2026-04-02,267,SQL Developer,Bangalore,711816,909357,810586,Accenture,Consulting,108,6,Pune,Interview
50,2026-04-02,242,Business Analyst,Mumbai,449722,1007381,728551,Deloitte,Consulting,44,7,Bangalore,Applied
51,2026-04-02,271,Data Analyst,Pune,650122,1256647,953384,Accenture,Finance,59,0,Bangalore,Applied
52,2026-04-02,273,Data Analyst,Hyderabad,775486,1503562,1139524,Wipro,Ecommerce,142,0,Pune,Hired
53,2026-04-02,294,Business Analyst,Delhi,444370,1155528,799949,Google,Ecommerce,167,8,Pune,Shortlisted
54,2026-04-02,141,BI Analyst,Bangalore,411567,1438489,925028,Capgemini,Consulting,75,7,Hyderabad,Applied
55,2026-04-02,167,Data Analyst,Mumbai,454236,961762,707999,Cognizant,Consulting,66,8,Hyderabad,Hired
56,2026-04-02,111,SQL Developer,Hyderabad,652125,1470264,1061194,Capgemini,IT,140,3,Pune,Hired
57,2026-04-02,278,Data Analyst,Bangalore,471157,985233,728195,Amazon,Consulting,34,0,Pune,Interview
58,2026-04-02,226,BI Analyst,Bangalore,665018,1146770,905894,Infosys,IT,200,7,Bangalore,Hired
59,2026-04-02,173,Data Scientist,Hyderabad,683325,937330,810327,Accenture,Finance,125,5,Delhi,Shortlisted
60,2026-04-02,104,BI Analyst,Bangalore,696734,1009456,853095,Cognizant,Finance,137,1,Delhi,Interview
61,2026-04-02,164,Data Scientist,Mumbai,446237,1117791,782014,Infosys,Consulting,63,1,Pune,Applied
62,2026-04-02,54,Data Analyst,Delhi,528273,1462333,995303,Cognizant,IT,105,7,Pune,Hired
63,2026-04-02,81,Data Analyst,Hyderabad,616834,1410691,1013762,Microsoft,Analytics,104,3,Delhi,Applied
64,2026-04-02,246,Data Scientist,Delhi,748373,917218,832795,Google,Analytics,166,2,Hyderabad,Interview
65,2026-04-02,259,Data Scientist,Mumbai,627474,1488672,1058073,Infosys,Analytics,181,4,Mumbai,Shortlisted
66,2026-04-02,116,BI Analyst,Hyderabad,655500,922173,788836,Google,Analytics,56,6,Bangalore,Hired
67,2026-04-02,248,SQL Developer,Delhi,650416,1396489,1023452,Cognizant,Ecommerce,132,2,Hyderabad,Rejected
68,2026-04-02,210,Business Analyst,Bangalore,529260,1383298,956279,Deloitte,Analytics,75,7,Hyderabad,Applied
69,2026-04-02,287,Business Analyst,Delhi,560709,1072158,816433,Amazon,Consulting,30,2,Mumbai,Rejected
70,2026-04-02,251,Data Analyst,Delhi,489142,1390432,939787,Deloitte,Analytics,24,0,Bangalore,Rejected
71,2026-04-02,165,BI Analyst,Mumbai,684439,1111301,897870,Google,IT,48,8,Bangalore,Hired
72,2026-04-02,79,Data Analyst,Mumbai,494190,1160005,827097,Microsoft,Analytics,20,2,Mumbai,Rejected
73,2026-04-02,10,SQL Developer,Mumbai,579352,983944,781648,Amazon,Consulting,52,3,Delhi,Hired
74,2026-04-02,64,Business Analyst,Hyderabad,431527,1057598,744562,Cognizant,Finance,127,1,Delhi,Hired
75,2026-04-02,158,Data Analyst,Bangalore,458883,1399236,929059,Cognizant,Ecommerce,26,6,Delhi,Hired
76,2026-04-02,67,Data Scientist,Mumbai,674620,1224631,949625,Microsoft,Consulting,183,3,Pune,Shortlisted
77,2026-04-02,285,SQL Developer,Bangalore,500423,1379328,939875,Google,Analytics,159,3,Pune,Interview
78,2026-04-02,284,SQL Developer,Hyderabad,748371,1162406,955388,Amazon,Finance,53,1,Mumbai,Interview
79,2026-04-02,119,Data Analyst,Bangalore,598473,1422851,1010662,Microsoft,Consulting,120,8,Delhi,Hired
80,2026-04-02,80,Business Analyst,Hyderabad,704373,1375939,1040156,Cognizant,Analytics,115,2,Mumbai,Shortlisted
81,2026-04-02,72,SQL Developer,Hyderabad,780319,1046452,913385,Microsoft,Analytics,189,5,Pune,Rejected
82,2026-04-02,10,SQL Developer,Mumbai,579352,983944,781648,Amazon,Consulting,56,6,Bangalore,Hired
83,2026-04-02,219,Data Scientist,Mumbai,615231,1352793,984012,Deloitte,Analytics,30,2,Mumbai,Rejected
84,2026-04-02,83,Data Analyst,Pune,518528,1508438,1013483,Amazon,IT,104,3,Delhi,Hired
85,2026-04-02,25,BI Analyst,Mumbai,772682,1322940,1047811,Deloitte,Ecommerce,26,6,Delhi,Rejected
86,2026-04-02,219,Data Scientist,Mumbai,615231,1352793,984012,Deloitte,Analytics,59,0,Bangalore,Shortlisted
87,2026-04-02,18,BI Analyst,Pune,435623,1094956,765289,Capgemini,IT,19,5,Pune,Rejected
88,2026-04-02,254,Business Analyst,Pune,460936,1458724,959830,Amazon,Consulting,32,3,Bangalore,Rejected
89,2026-04-02,86,Business Analyst,Pune,575842,1409289,992565,Accenture,Analytics,150,7,Delhi,Interview
90,2026-04-02,69,BI Analyst,Pune,612812,912473,762642,Cognizant,Ecommerce,188,1,Hyderabad,Rejected
91,2026-04-02,44,Data Analyst,Delhi,461275,986440,723857,Deloitte,Consulting,164,4,Bangalore,Rejected
92,2026-04-02,191,Business Analyst,Mumbai,717234,1235618,976426,Capgemini,Consulting,191,3,Pune,Hired
93,2026-04-02,206,BI Analyst,Pune,671584,1102441,887012,Amazon,Consulting,49,3,Bangalore,Shortlisted
94,2026-04-02,111,SQL Developer,Hyderabad,652125,1470264,1061194,Capgemini,IT,121,5,Delhi,Interview
95,2026-04-02,68,Business Analyst,Hyderabad,565325,985185,775255,Cognizant,Analytics,75,7,Hyderabad,Interview
96,2026-04-02,8,Data Scientist,Bangalore,605111,1010199,807655,Deloitte,Consulting,53,1,Mumbai,Shortlisted
97,2026-04-02,150,Data Scientist,Bangalore,676482,1335335,1005908,Wipro,Ecommerce,187,7,Hyderabad,Rejected
98,2026-04-02,34,Data Analyst,Hyderabad,408629,1301301,854965,Google,Analytics,96,3,Mumbai,Hired
99,2026-04-02,5,Data Scientist,Hyderabad,788025,1045254,916639,Deloitte,Consulting,52,3,Delhi,Applied
100,2026-04-02,220,SQL Developer,Delhi,450631,918063,684347,Wipro,Analytics,1,3,Hyderabad,Applied
101,2026-04-02,51,BI Analyst,Mumbai,739029,900050,819539,Accenture,Consulting,5,5,Bangalore,Interview
102,2026-04-02,205,Business Analyst,Mumbai,763104,1033518,898311,Cognizant,IT,70,3,Bangalore,Rejected
103,2026-04-02,99,Business Analyst,Delhi,651674,1312895,982284,Cognizant,Finance,99,7,Mumbai,Interview
104,2026-04-02,294,Business Analyst,Delhi,444370,1155528,799949,Google,Ecommerce,79,7,Hyderabad,Shortlisted
105,2026-04-02,161,Business Analyst,Bangalore,481301,1065260,773280,Cognizant,Finance,138,0,Hyderabad,Interview
106,2026-04-02,66,BI Analyst,Mumbai,643624,1257470,950547,Google,IT,93,4,Mumbai,Applied
107,2026-04-02,186,Data Analyst,Bangalore,731311,1495227,1113269,Infosys,Ecommerce,43,2,Hyderabad,Hired
108,2026-04-02,287,Business Analyst,Delhi,560709,1072158,816433,Amazon,Consulting,112,3,Bangalore,Hired
109,2026-04-02,220,SQL Developer,Delhi,450631,918063,684347,Wipro,Analytics,190,4,Pune,Hired
